docID,edinetCode,secCode,filerName,docTypeCode,docDescription,submitDateTime,path
S100VSUG,E32011,,りそなアセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第6期(2024/11/26－2025/11/25),2025-08-25 09:03,data\raw\edinet\2025-08-25\S100VSUG
S100WKN5,E35933,,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:03,data\raw\edinet\2025-08-25\S100WKN5
S100WG5E,E12434,,ＳＯＭＰＯアセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第5期(2024/11/26－2025/05/26),2025-08-25 09:04,data\raw\edinet\2025-08-25\S100WG5E
S100WIIM,E11518,,三菱ＵＦＪアセットマネジメント株式会社,040,訂正有価証券届出書（内国投資信託受益証券）,2025-08-25 09:04,data\raw\edinet\2025-08-25\S100WIIM
S100VSUF,E32011,,りそなアセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:04,data\raw\edinet\2025-08-25\S100VSUF
S100WKVT,E05527,24590,アウンコンサルティング株式会社,135,確認書,2025-08-25 09:04,data\raw\edinet\2025-08-25\S100WKVT
S100WKVQ,E05527,24590,アウンコンサルティング株式会社,120,有価証券報告書－第27期(2024/06/01－2025/05/31),2025-08-25 09:04,data\raw\edinet\2025-08-25\S100WKVQ
S100VSUK,E32011,,りそなアセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第6期(2024/11/26－2025/11/25),2025-08-25 09:05,data\raw\edinet\2025-08-25\S100VSUK
S100WKVV,E05527,24590,アウンコンサルティング株式会社,235,内部統制報告書－第27期(2024/06/01－2025/05/31),2025-08-25 09:05,data\raw\edinet\2025-08-25\S100WKVV
S100W9QE,E12444,,三井住友トラスト・アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:05,data\raw\edinet\2025-08-25\S100W9QE
S100WKPD,E13343,,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:05,data\raw\edinet\2025-08-25\S100WKPD
S100WHOP,E12444,,三井住友トラスト・アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:05,data\raw\edinet\2025-08-25\S100WHOP
S100WKPH,E13343,,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:06,data\raw\edinet\2025-08-25\S100WKPH
S100VSUI,E32011,,りそなアセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:06,data\raw\edinet\2025-08-25\S100VSUI
S100WKPF,E13343,,ＢＮＹメロン・インベストメント・マネジメント・ジャパン株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:07,data\raw\edinet\2025-08-25\S100WKPF
S100W9R2,E12444,,三井住友トラスト・アセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第7期(2024/11/26－2025/11/25),2025-08-25 09:07,data\raw\edinet\2025-08-25\S100W9R2
S100WK6L,E12453,,ニッセイアセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:07,data\raw\edinet\2025-08-25\S100WK6L
S100WKY0,E05153,21300,株式会社メンバーズ,180,臨時報告書,2025-08-25 09:07,data\raw\edinet\2025-08-25\S100WKY0
S100VW7W,E12473,,ＵＢＳアセット・マネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第8期(2024/11/26－2025/11/25),2025-08-25 09:08,data\raw\edinet\2025-08-25\S100VW7W
S100WK6S,E12453,,ニッセイアセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:08,data\raw\edinet\2025-08-25\S100WK6S
S100WJ5A,E12444,,三井住友トラスト・アセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第14期(2024/11/26－2025/11/25),2025-08-25 09:08,data\raw\edinet\2025-08-25\S100WJ5A
S100WG59,E12434,,ＳＯＭＰＯアセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:08,data\raw\edinet\2025-08-25\S100WG59
S100WK6W,E12453,,ニッセイアセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:09,data\raw\edinet\2025-08-25\S100WK6W
S100VW81,E12473,,ＵＢＳアセット・マネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第4期(2024/11/26－2025/11/25),2025-08-25 09:09,data\raw\edinet\2025-08-25\S100VW81
S100W9QY,E12444,,三井住友トラスト・アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:09,data\raw\edinet\2025-08-25\S100W9QY
S100WDR6,E11518,,三菱ＵＦＪアセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第11期(2024/11/26－2025/05/26),2025-08-25 09:09,data\raw\edinet\2025-08-25\S100WDR6
S100VW7X,E12473,,ＵＢＳアセット・マネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:09,data\raw\edinet\2025-08-25\S100VW7X
S100VVR6,E12441,,ＳＢＩ岡三アセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第38期(2024/11/27－2025/11/26),2025-08-25 09:09,data\raw\edinet\2025-08-25\S100VVR6
S100VW83,E12473,,ＵＢＳアセット・マネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:10,data\raw\edinet\2025-08-25\S100VW83
S100WK74,E12453,,ニッセイアセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:10,data\raw\edinet\2025-08-25\S100WK74
S100WK76,E12453,,ニッセイアセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:11,data\raw\edinet\2025-08-25\S100WK76
S100WJ5B,E12444,,三井住友トラスト・アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:12,data\raw\edinet\2025-08-25\S100WJ5B
S100WK79,E12453,,ニッセイアセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:12,data\raw\edinet\2025-08-25\S100WK79
S100WIP3,E15787,,楽天投信投資顧問株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:12,data\raw\edinet\2025-08-25\S100WIP3
S100WKX1,E12457,,ゴールドマン・サックス・アセット・マネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:13,data\raw\edinet\2025-08-25\S100WKX1
S100WK2Y,E12444,,三井住友トラスト・アセットマネジメント株式会社,180,臨時報告書（内国特定有価証券）,2025-08-25 09:13,data\raw\edinet\2025-08-25\S100WK2Y
S100WDAO,E11518,,三菱ＵＦＪアセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第5期(2024/11/27－2025/05/26),2025-08-25 09:14,data\raw\edinet\2025-08-25\S100WDAO
S100VSUJ,E12430,,日興アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:15,data\raw\edinet\2025-08-25\S100VSUJ
S100VSUM,E12430,,日興アセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第12期(2024/11/26－2025/11/25),2025-08-25 09:15,data\raw\edinet\2025-08-25\S100VSUM
S100VVR9,E12441,,ＳＢＩ岡三アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:15,data\raw\edinet\2025-08-25\S100VVR9
S100WH60,E11518,,三菱ＵＦＪアセットマネジメント株式会社,040,訂正有価証券届出書（内国投資信託受益証券）,2025-08-25 09:15,data\raw\edinet\2025-08-25\S100WH60
S100VSUT,E12430,,日興アセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第8期(2024/11/26－2025/11/25),2025-08-25 09:16,data\raw\edinet\2025-08-25\S100VSUT
S100WDAP,E11518,,三菱ＵＦＪアセットマネジメント株式会社,040,訂正有価証券届出書（内国投資信託受益証券）,2025-08-25 09:16,data\raw\edinet\2025-08-25\S100WDAP
S100VSUO,E12430,,日興アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:17,data\raw\edinet\2025-08-25\S100VSUO
S100WJRC,E10677,,アセットマネジメントＯｎｅ株式会社,160,半期報告書（内国投資信託受益証券）－第9期(2024/11/26－2025/11/25),2025-08-25 09:17,data\raw\edinet\2025-08-25\S100WJRC
S100WKX3,E12457,,ゴールドマン・サックス・アセット・マネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第18期(2024/11/26－2025/05/26),2025-08-25 09:17,data\raw\edinet\2025-08-25\S100WKX3
S100WHP5,E12444,,三井住友トラスト・アセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第3期(2024/11/26－2025/05/26),2025-08-25 09:18,data\raw\edinet\2025-08-25\S100WHP5
S100VVRC,E12441,,ＳＢＩ岡三アセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第38期(2024/11/27－2025/11/26),2025-08-25 09:18,data\raw\edinet\2025-08-25\S100VVRC
S100WJRA,E10677,,アセットマネジメントＯｎｅ株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:19,data\raw\edinet\2025-08-25\S100WJRA
S100WK4S,E12447,,朝日ライフ　アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:20,data\raw\edinet\2025-08-25\S100WK4S
S100WHP3,E12444,,三井住友トラスト・アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:21,data\raw\edinet\2025-08-25\S100WHP3
S100WH8R,E11518,,三菱ＵＦＪアセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第5期(2024/11/27－2025/05/26),2025-08-25 09:23,data\raw\edinet\2025-08-25\S100WH8R
S100VVRF,E12441,,ＳＢＩ岡三アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:24,data\raw\edinet\2025-08-25\S100VVRF
S100WK4U,E12447,,朝日ライフ　アセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:26,data\raw\edinet\2025-08-25\S100WK4U
S100WKK8,E12480,,アライアンス・バーンスタイン株式会社,120,有価証券報告書（内国投資信託受益証券）－第55期(2024/11/26－2025/05/26),2025-08-25 09:26,data\raw\edinet\2025-08-25\S100WKK8
S100WKKO,E12480,,アライアンス・バーンスタイン株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:29,data\raw\edinet\2025-08-25\S100WKKO
S100WKOP,E05289,23030,株式会社ドーン,135,確認書,2025-08-25 09:30,data\raw\edinet\2025-08-25\S100WKOP
S100WKOT,E05289,23030,株式会社ドーン,235,内部統制報告書－第34期(2024/06/01－2025/05/31),2025-08-25 09:30,data\raw\edinet\2025-08-25\S100WKOT
S100WKOH,E05289,23030,株式会社ドーン,120,有価証券報告書－第34期(2024/06/01－2025/05/31),2025-08-25 09:30,data\raw\edinet\2025-08-25\S100WKOH
S100WH69,E11518,,三菱ＵＦＪアセットマネジメント株式会社,040,訂正有価証券届出書（内国投資信託受益証券）,2025-08-25 09:30,data\raw\edinet\2025-08-25\S100WH69
S100WEIL,E11518,,三菱ＵＦＪアセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第5期(2024/05/28－2025/05/26),2025-08-25 09:41,data\raw\edinet\2025-08-25\S100WEIL
S100WEHJ,E12453,,ニッセイアセットマネジメント株式会社,120,有価証券報告書（内国投資信託受益証券）－第12期(2024/11/26－2025/05/26),2025-08-25 09:42,data\raw\edinet\2025-08-25\S100WEHJ
S100WKRZ,E35129,,中部　哲二,360,訂正報告書（大量保有報告書・変更報告書）,2025-08-25 09:43,data\raw\edinet\2025-08-25\S100WKRZ
S100WEHK,E12453,,ニッセイアセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:43,data\raw\edinet\2025-08-25\S100WEHK
S100WEHL,E12453,,ニッセイアセットマネジメント株式会社,160,半期報告書（内国投資信託受益証券）－第7期(2024/11/26－2025/11/25),2025-08-25 09:44,data\raw\edinet\2025-08-25\S100WEHL
S100WEHM,E12453,,ニッセイアセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:44,data\raw\edinet\2025-08-25\S100WEHM
S100WEIM,E11518,,三菱ＵＦＪアセットマネジメント株式会社,030,有価証券届出書（内国投資信託受益証券）,2025-08-25 09:44,data\raw\edinet\2025-08-25\S100WEIM
S100WKZH,E05097,47650,ＳＢＩグローバルアセットマネジメント株式会社,180,臨時報告書,2025-08-25 09:55,data\raw\edinet\2025-08-25\S100WKZH
S100WKW0,E03824,,三井住友海上火災保険株式会社,360,訂正報告書（大量保有報告書・変更報告書）,2025-08-25 10:10,data\raw\edinet\2025-08-25\S100WKW0
S100WKXX,E00458,22880,丸大食品株式会社,180,臨時報告書,2025-08-25 10:19,data\raw\edinet\2025-08-25\S100WKXX
S100WKUR,E05462,87930,ＮＥＣキャピタルソリューション株式会社,180,臨時報告書,2025-08-25 10:30,data\raw\edinet\2025-08-25\S100WKUR
S100WKVW,E00687,38920,株式会社岡山製紙,120,有価証券報告書－第184期(2024/06/01－2025/05/31),2025-08-25 10:34,data\raw\edinet\2025-08-25\S100WKVW
S100WKWZ,E00687,38920,株式会社岡山製紙,135,確認書,2025-08-25 10:37,data\raw\edinet\2025-08-25\S100WKWZ
S100WKX5,E00687,38920,株式会社岡山製紙,235,内部統制報告書－第184期(2024/06/01－2025/05/31),2025-08-25 10:44,data\raw\edinet\2025-08-25\S100WKX5
S100WKWD,E31378,,Ｔｅｍｐｅｒｅｄ　Ｉｎｖｅｓｔｍｅｎｔ　Ｍａｎａｇｅｍｅｎｔ　ＬＴＤ．,350,変更報告書,2025-08-25 10:58,data\raw\edinet\2025-08-25\S100WKWD
S100WJWQ,E36802,,株式会社アーク・クエスト,350,変更報告書,2025-08-25 11:04,data\raw\edinet\2025-08-25\S100WJWQ
S100WKFT,E40541,,日本郵便株式会社,350,大量保有報告書,2025-08-25 11:08,data\raw\edinet\2025-08-25\S100WKFT
S100WJL9,E01630,45430,テルモ株式会社,180,臨時報告書,2025-08-25 11:13,data\raw\edinet\2025-08-25\S100WJL9
S100WL0H,E00710,79210,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,180,臨時報告書,2025-08-25 11:14,data\raw\edinet\2025-08-25\S100WL0H
S100WKQY,E37714,,徳山　明成,350,変更報告書,2025-08-25 11:17,data\raw\edinet\2025-08-25\S100WKQY
S100WL0R,E00881,44040,ミヨシ油脂株式会社,180,臨時報告書,2025-08-25 11:19,data\raw\edinet\2025-08-25\S100WL0R
S100WL0T,E03386,27220,株式会社ＩＫホールディングス,120,有価証券報告書－第44期(2024/06/01－2025/05/31),2025-08-25 11:21,data\raw\edinet\2025-08-25\S100WL0T
S100WL15,E03386,27220,株式会社ＩＫホールディングス,135,確認書,2025-08-25 11:24,data\raw\edinet\2025-08-25\S100WL15
S100WL19,E03386,27220,株式会社ＩＫホールディングス,235,内部統制報告書－第44期(2024/06/01－2025/05/31),2025-08-25 11:29,data\raw\edinet\2025-08-25\S100WL19
S100WF0Q,E20989,,トヨタ　モーター　ファイナンス　（ネザーランズ）　ビーブイ,080,発行登録書,2025-08-25 11:31,data\raw\edinet\2025-08-25\S100WF0Q
S100WL1A,E01630,45430,テルモ株式会社,090,訂正発行登録書,2025-08-25 11:34,data\raw\edinet\2025-08-25\S100WL1A
S100WKT4,E39349,137A0,Ｃｏｃｏｌｉｖｅ株式会社,180,臨時報告書,2025-08-25 11:35,data\raw\edinet\2025-08-25\S100WKT4
S100WL1E,E02497,80010,伊藤忠商事株式会社,090,訂正発行登録書,2025-08-25 11:45,data\raw\edinet\2025-08-25\S100WL1E
S100WKJF,E03424,27920,株式会社ハニーズホールディングス,120,有価証券報告書－第47期(2024/06/01－2025/05/31),2025-08-25 11:48,data\raw\edinet\2025-08-25\S100WKJF
S100WKN7,E03424,27920,株式会社ハニーズホールディングス,135,確認書,2025-08-25 11:49,data\raw\edinet\2025-08-25\S100WKN7
S100WKNA,E03424,27920,株式会社ハニーズホールディングス,235,内部統制報告書－第47期(2024/06/01－2025/05/31),2025-08-25 11:51,data\raw\edinet\2025-08-25\S100WKNA
S100WKTA,E05313,89080,株式会社毎日コムネット,120,有価証券報告書－第47期(2024/06/01－2025/05/31),2025-08-25 11:56,data\raw\edinet\2025-08-25\S100WKTA
S100WKTS,E05313,89080,株式会社毎日コムネット,235,内部統制報告書－第47期(2024/06/01－2025/05/31),2025-08-25 11:57,data\raw\edinet\2025-08-25\S100WKTS
S100WL0E,E05313,89080,株式会社毎日コムネット,180,臨時報告書,2025-08-25 11:58,data\raw\edinet\2025-08-25\S100WL0E
S100WKTU,E05313,89080,株式会社毎日コムネット,135,確認書,2025-08-25 11:58,data\raw\edinet\2025-08-25\S100WKTU
S100WKMZ,E05462,87930,ＮＥＣキャピタルソリューション株式会社,090,訂正発行登録書,2025-08-25 12:41,data\raw\edinet\2025-08-25\S100WKMZ
S100WL27,E02793,74200,佐鳥電機株式会社,180,臨時報告書,2025-08-25 12:55,data\raw\edinet\2025-08-25\S100WL27
S100WKS4,E39646,189A0,株式会社Ｄ＆Ｍカンパニー,135,確認書,2025-08-25 13:04,data\raw\edinet\2025-08-25\S100WKS4
S100WKS0,E39646,189A0,株式会社Ｄ＆Ｍカンパニー,120,有価証券報告書－第10期(2024/06/01－2025/05/31),2025-08-25 13:04,data\raw\edinet\2025-08-25\S100WKS0
S100WKS2,E39646,189A0,株式会社Ｄ＆Ｍカンパニー,235,内部統制報告書－第10期(2024/06/01－2025/05/31),2025-08-25 13:05,data\raw\edinet\2025-08-25\S100WKS2
S100WL2D,E04463,,株式会社ＮＴＴドコモ,250,訂正公開買付届出書,2025-08-25 13:06,data\raw\edinet\2025-08-25\S100WL2D
S100WKZM,E15743,,持山　銀次郎,360,訂正報告書（大量保有報告書・変更報告書）,2025-08-25 13:08,data\raw\edinet\2025-08-25\S100WKZM
S100WKV6,E27035,,株式会社徳応舎,350,変更報告書,2025-08-25 13:19,data\raw\edinet\2025-08-25\S100WKV6
S100WL2P,E40941,,Ｃｕｒｉｅ１株式会社,250,訂正公開買付届出書,2025-08-25 13:21,data\raw\edinet\2025-08-25\S100WL2P
S100WKUW,E02842,74870,小津産業株式会社,235,内部統制報告書－第114期(2024/06/01－2025/05/31),2025-08-25 13:30,data\raw\edinet\2025-08-25\S100WKUW
S100WKUV,E02842,74870,小津産業株式会社,135,確認書,2025-08-25 13:30,data\raw\edinet\2025-08-25\S100WKUV
S100WKUS,E02842,74870,小津産業株式会社,120,有価証券報告書－第114期(2024/06/01－2025/05/31),2025-08-25 13:30,data\raw\edinet\2025-08-25\S100WKUS
S100WKLV,E04764,97650,株式会社オオバ,120,有価証券報告書－第91期(2024/06/01－2025/05/31),2025-08-25 13:42,data\raw\edinet\2025-08-25\S100WKLV
S100WKM5,E04764,97650,株式会社オオバ,135,確認書,2025-08-25 13:43,data\raw\edinet\2025-08-25\S100WKM5
S100WKMG,E04764,97650,株式会社オオバ,235,内部統制報告書－第91期(2024/06/01－2025/05/31),2025-08-25 13:44,data\raw\edinet\2025-08-25\S100WKMG
S100WL2Z,E40318,,安達　礼,360,訂正報告書（大量保有報告書・変更報告書）,2025-08-25 13:54,data\raw\edinet\2025-08-25\S100WL2Z
S100WJWM,E31543,,メドトロニック・パブリック・リミテッド・カンパニー,120,外国会社報告書,2025-08-25 14:01,data\raw\edinet\2025-08-25\S100WJWM
S100W1HH,E40769,,株式会社ＵＥＤ,350,大量保有報告書,2025-08-25 14:01,data\raw\edinet\2025-08-25\S100W1HH
S100WKTQ,E40318,,安達　礼,350,変更報告書,2025-08-25 14:03,data\raw\edinet\2025-08-25\S100WKTQ
S100WL33,E36261,41930,株式会社ファブリカホールディングス,130,訂正有価証券報告書－第31期(2024/04/01－2025/03/31),2025-08-25 14:07,data\raw\edinet\2025-08-25\S100WL33
S100WL3N,E36261,41930,株式会社ファブリカホールディングス,135,確認書,2025-08-25 14:10,data\raw\edinet\2025-08-25\S100WL3N
S100WL3Q,E04018,89200,株式会社　東　祥,220,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,2025-08-25 14:30,data\raw\edinet\2025-08-25\S100WL3Q
S100WKV4,E30598,32970,株式会社東武住販,120,有価証券報告書－第42期(2024/06/01－2025/05/31),2025-08-25 14:31,data\raw\edinet\2025-08-25\S100WKV4
S100WL3V,E04018,89200,株式会社　東　祥,220,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,2025-08-25 14:31,data\raw\edinet\2025-08-25\S100WL3V
S100WL3X,E04018,89200,株式会社　東　祥,220,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,2025-08-25 14:31,data\raw\edinet\2025-08-25\S100WL3X
S100WKVB,E30598,32970,株式会社東武住販,235,内部統制報告書－第42期(2024/06/01－2025/05/31),2025-08-25 14:33,data\raw\edinet\2025-08-25\S100WKVB
S100WKV9,E30598,32970,株式会社東武住販,135,確認書,2025-08-25 14:33,data\raw\edinet\2025-08-25\S100WKV9
S100WL09,E01088,51030,昭和ホールディングス株式会社,180,臨時報告書,2025-08-25 14:44,data\raw\edinet\2025-08-25\S100WL09
S100WL08,E10888,,代永衛,350,変更報告書,2025-08-25 14:44,data\raw\edinet\2025-08-25\S100WL08
S100WL3M,E40644,,ＹＡＧＥＯ　Ｅｌｅｃｔｒｏｎｉｃｓ　Ｊａｐａｎ合同会社,250,訂正公開買付届出書,2025-08-25 14:51,data\raw\edinet\2025-08-25\S100WL3M
S100WL2X,E39550,,中村　格彰,350,変更報告書,2025-08-25 15:02,data\raw\edinet\2025-08-25\S100WL2X
S100WKFY,E34539,,ハイツ・キャピタル・マネジメント・インク,350,変更報告書,2025-08-25 15:05,data\raw\edinet\2025-08-25\S100WKFY
S100WL4R,E36638,73700,株式会社Ｅｎｊｉｎ,180,臨時報告書,2025-08-25 15:08,data\raw\edinet\2025-08-25\S100WL4R
S100WL4W,E05379,27960,ファーマライズホールディングス株式会社,120,有価証券報告書－第39期(2024/06/01－2025/05/31),2025-08-25 15:09,data\raw\edinet\2025-08-25\S100WL4W
S100WL5B,E05379,27960,ファーマライズホールディングス株式会社,135,確認書,2025-08-25 15:12,data\raw\edinet\2025-08-25\S100WL5B
S100WL5F,E05379,27960,ファーマライズホールディングス株式会社,235,内部統制報告書－第39期(2024/06/01－2025/05/31),2025-08-25 15:15,data\raw\edinet\2025-08-25\S100WL5F
S100WKL9,E00491,25940,キーコーヒー株式会社,130,訂正有価証券報告書－第73期(2024/04/01－2025/03/31),2025-08-25 15:17,data\raw\edinet\2025-08-25\S100WKL9
S100WKPT,E00491,25940,キーコーヒー株式会社,236,訂正内部統制報告書－第73期(2024/04/01－2025/03/31),2025-08-25 15:18,data\raw\edinet\2025-08-25\S100WKPT
S100WJUX,E00692,79110,ＴＯＰＰＡＮホールディングス株式会社,080,発行登録書（株券､社債券等）,2025-08-25 15:21,data\raw\edinet\2025-08-25\S100WJUX
S100WL5I,E00491,25940,キーコーヒー株式会社,135,確認書,2025-08-25 15:22,data\raw\edinet\2025-08-25\S100WL5I
S100WKSN,E00006,13770,株式会社　サカタのタネ,120,有価証券報告書－第84期(2024/06/01－2025/05/31),2025-08-25 15:23,data\raw\edinet\2025-08-25\S100WKSN
S100WKSQ,E00006,13770,株式会社　サカタのタネ,235,内部統制報告書－第84期(2024/06/01－2025/05/31),2025-08-25 15:24,data\raw\edinet\2025-08-25\S100WKSQ
S100WKSP,E00006,13770,株式会社　サカタのタネ,135,確認書,2025-08-25 15:25,data\raw\edinet\2025-08-25\S100WKSP
